iter	Passed	Remaining
175	306	1436
176	307	1428
177	307	1422
178	308	1414
179	308	1407
180	309	1399
181	309	1392
182	310	1385
183	310	1379
184	311	1372
185	312	1365
186	312	1358
187	313	1352
188	313	1345
189	314	1339
190	314	1334
191	315	1328
192	316	1321
193	316	1315
194	317	1309
195	317	1303
196	318	1297
197	318	1291
198	319	1285
199	320	1280
200	320	1274
201	321	1268
202	321	1263
203	322	1257
204	322	1251
205	323	1246
206	323	1240
207	324	1235
208	324	1229
209	325	1224
210	325	1218
211	326	1213
212	327	1208
213	327	1203
214	328	1199
215	329	1194
216	329	1189
217	330	1184
218	330	1179
219	331	1174
220	331	1169
221	332	1164
222	332	1159
223	333	1154
224	333	1150
225	334	1145
226	334	1140
227	335	1135
228	335	1131
229	336	1126
230	336	1121
231	337	1117
232	338	1113
233	338	1108
234	339	1104
235	339	1099
236	340	1095
237	340	1091
238	341	1087
239	342	1084
240	342	1079
241	343	1075
242	343	1071
243	344	1067
244	344	1062
245	345	1058
246	345	1054
247	346	1050
248	347	1046
249	347	1042
250	348	1038
251	348	1034
252	349	1030
253	349	1027
254	350	1023
255	350	1019
256	351	1016
257	351	1012
258	352	1008
259	353	1004
260	353	1001
261	354	998
262	355	994
263	355	991
264	356	988
265	356	984
266	357	981
267	357	977
268	358	973
269	358	970
270	359	966
271	359	963
272	360	959
273	361	956
274	361	953
275	362	949
276	362	946
277	363	943
278	363	939
279	364	936
280	364	933
281	365	930
282	365	926
283	366	923
284	366	920
285	367	917
286	367	914
287	368	911
288	369	908
289	369	905
290	370	901
291	370	898
292	371	895
293	371	892
294	372	889
295	372	886
296	373	883
297	374	881
298	374	878
299	375	875
300	375	872
301	376	869
302	376	866
303	377	863
304	377	860
305	378	858
306	378	855
307	379	852
308	379	849
309	380	846
310	381	844
311	381	842
312	382	839
313	382	836
314	383	834
315	384	831
316	384	828
317	385	825
318	385	823
319	386	820
320	386	817
321	387	815
322	387	812
323	388	810
324	388	807
325	389	804
326	389	802
327	390	799
328	390	797
329	391	794
330	392	792
331	392	789
332	393	787
333	393	784
334	394	783
335	395	780
336	395	778
337	396	776
338	396	773
339	397	771
340	397	768
341	398	766
342	399	764
343	399	761
344	400	759
345	400	757
346	401	754
347	401	752
348	402	750
349	402	747
350	403	745
351	403	743
352	404	741
353	405	739
354	405	736
355	406	734
356	406	732
357	407	729
358	407	727
359	408	726
360	409	724
361	409	721
362	410	719
363	410	717
364	411	715
365	411	713
366	412	711
367	412	709
368	413	706
369	413	704
370	414	702
371	414	700
372	415	698
373	416	696
374	416	694
375	417	692
376	417	690
377	418	688
378	418	686
379	419	683
380	419	681
381	420	679
382	420	677
383	421	676
384	422	674
385	422	672
386	423	670
387	423	668
388	424	666
389	424	664
390	425	662
391	425	660
392	426	658
393	427	656
394	427	655
395	428	653
396	428	651
397	429	649
398	429	647
399	430	645
400	431	644
401	431	642
402	432	640
403	432	638
404	433	636
405	434	635
406	434	633
407	435	631
408	436	630
409	436	628
410	437	626
411	437	624
412	438	622
413	438	621
414	439	619
415	439	617
416	440	616
417	441	614
418	441	612
419	442	610
420	442	609
421	443	607
422	444	605
423	444	603
424	445	602
425	445	600
426	446	598
427	446	597
428	447	595
429	447	593
430	448	592
431	449	590
432	449	588
433	450	587
434	450	585
435	451	583
436	451	582
437	452	580
438	453	578
439	453	577
440	454	575
441	454	573
442	455	572
443	455	570
444	456	568
445	456	567
446	457	565
447	457	564
448	458	562
449	459	561
450	459	559
451	460	557
452	460	556
453	461	554
454	462	553
455	462	552
456	463	550
457	463	548
458	464	547
459	464	545
460	465	544
461	466	542
462	466	541
463	467	539
464	467	538
465	468	536
466	468	535
467	469	533
468	469	531
469	470	530
470	470	528
471	471	527
472	471	525
473	472	524
474	473	522
475	473	521
476	474	519
477	474	518
478	475	517
479	476	515
480	476	514
481	477	513
482	478	511
483	479	510
484	479	509
485	480	507
486	480	506
